"Item_Number","Name","Year","Theme","Subtheme","Pieces","Minifigures","Image_URL","GBP_MSRP","USD_MSRP","CAD_MSRP","EUR_MSRP","Packaging","Availability"
"40115","LEGOLAND Entrance with Family",2014,"Promotional","LEGOLAND model",320,NA,"http://www.1000steine.com/brickset/images/40115-1.jpg",12.99,NA,NA,NA,"Box","LEGOLAND exclusive"
"40116","Hero Robot",2014,"HERO Factory","",31,1,"http://www.1000steine.com/brickset/images/40116-1.jpg",4.99,NA,NA,NA,"Polybag","Retail - limited"
"40118","Buildable Brick Box 2x2",2014,"Miscellaneous","",203,1,"http://www.1000steine.com/brickset/images/40118-1.jpg",12.99,16.99,19.99,14.99,"Box","LEGO exclusive"
"41026","Sunshine Harvest",2014,"Friends","",233,1,"http://www.1000steine.com/brickset/images/41026-1.jpg",17.99,19.99,24.99,19.99,"Box","Retail"
"41027","Mia's Lemonade Stand",2014,"Friends","",112,1,"http://www.1000steine.com/brickset/images/41027-1.jpg",9.99,9.99,12.99,9.99,"Box","Retail"
"41028","Emma's Lifeguard Post",2014,"Friends","",78,1,"http://www.1000steine.com/brickset/images/41028-1.jpg",9.99,9.99,12.99,9.99,"Box","Retail"
"41029","Stephanie's New Born Lamb",2014,"Friends","",78,1,"http://www.1000steine.com/brickset/images/41029-1.jpg",9.99,9.99,12.99,9.99,"Box","Retail"
"41030","Olivia's Ice Cream Bike",2014,"Friends","",98,1,"http://www.1000steine.com/brickset/images/41030-1.jpg",9.99,9.99,12.99,9.99,"Box","Retail"
"41031","Andrea's Mountain Hut",2014,"Friends","",119,1,"http://www.1000steine.com/brickset/images/41031-1.jpg",9.99,9.99,12.99,9.99,"Box","Retail"
"41032","First Aid Jungle Bike",2014,"Friends","Jungle Rescue",156,1,"http://www.1000steine.com/brickset/images/41032-1.jpg",12.99,14.99,17.99,14.99,"Box","Retail"
"41033","Jungle Falls Rescue",2014,"Friends","Jungle Rescue",183,1,"http://www.1000steine.com/brickset/images/41033-1.jpg",17.99,19.99,24.99,19.99,"Box","Retail"
"41034","Summer Caravan",2014,"Friends","",297,2,"http://www.1000steine.com/brickset/images/41034-1.jpg",19.99,29.99,39.99,24.99,"Box","Retail"
"41035","Heartlake Juice Bar",2014,"Friends","",277,2,"http://www.1000steine.com/brickset/images/41035-1.jpg",24.99,29.99,39.99,32.99,"Box","Retail"
"41036","Jungle Bridge Rescue",2014,"Friends","Jungle Rescue",365,2,"http://www.1000steine.com/brickset/images/41036-1.jpg",24.99,29.99,39.99,29.99,"Box","Retail"
"41037","Stephanie's Beach House",2014,"Friends","",369,2,"http://www.1000steine.com/brickset/images/41037-1.jpg",39.99,39.99,49.99,NA,"Box","Retail"
"41038","Jungle Rescue Base",2014,"Friends","Jungle Rescue",472,2,"http://www.1000steine.com/brickset/images/41038-1.jpg",44.99,59.99,69.99,49.99,"Box","Retail"
"41039","Sunshine Ranch",2014,"Friends","",721,2,"http://www.1000steine.com/brickset/images/41039-1.jpg",59.99,69.99,89.99,69.99,"Box","Retail"
"41040","Friends Advent Calendar",2014,"Friends","",228,NA,"http://www.1000steine.com/brickset/images/41040-1.jpg",NA,29.99,NA,NA,"Not specified","Not specified"
"41041","Turtle's Little Paradise",2014,"Friends","Animals series 4",43,NA,"http://www.1000steine.com/brickset/images/41041-1.jpg",2.99,3.99,5.99,3.99,"Foil pack","Retail"
"41042","Tiger's Beautiful Temple",2014,"Friends","Animals series 4",42,NA,"http://www.1000steine.com/brickset/images/41042-1.jpg",2.99,3.99,5.99,3.99,"Foil pack","Retail"
"41043","Penguin's Playground",2014,"Friends","Animals series 4",46,NA,"http://www.1000steine.com/brickset/images/41043-1.jpg",2.99,3.99,5.99,3.99,"Foil pack","Retail"
"41044","Macaw's Fountain",2014,"Friends","Animals series 5",39,NA,"http://www.1000steine.com/brickset/images/41044-1.jpg",2.99,3.99,5.99,3.99,"Not specified","Not specified"
"41045","Orangutan's Banana Tree",2014,"Friends","Animals series 5",37,NA,"http://www.1000steine.com/brickset/images/41045-1.jpg",2.99,3.99,5.99,3.99,"Not specified","Not specified"
"41046","Brown Bear's River",2014,"Friends","Animals series 5",37,NA,"http://www.1000steine.com/brickset/images/41046-1.jpg",2.99,3.99,5.99,3.99,"Not specified","Not specified"
"41050","Ariel's Amazing Treasures",2014,"Disney Princess","The Little Mermaid",77,1,"http://www.1000steine.com/brickset/images/41050-1.jpg",11.99,12.99,15.99,12.99,"Box","Retail"
"41051","Merida's Highland Games",2014,"Disney Princess","Brave",145,1,"http://www.1000steine.com/brickset/images/41051-1.jpg",17.99,19.99,24.99,19.99,"Box","Retail"
"41052","Ariel's Magical Kiss",2014,"Disney Princess","The Little Mermaid",250,2,"http://www.1000steine.com/brickset/images/41052-1.jpg",24.99,29.99,39.99,29.99,"Box","Retail"
"41053","Cinderella's Dream Carriage",2014,"Disney Princess","Cinderella",274,1,"http://www.1000steine.com/brickset/images/41053-1.jpg",24.99,29.99,39.99,29.99,"Box","Retail"
"41054","Rapunzel's Creativity Tower",2014,"Disney Princess","Tangled",299,2,"http://www.1000steine.com/brickset/images/41054-1.jpg",34.99,39.99,49.99,39.99,"Box","Retail"
"41055","Cinderella's Romantic Castle",2014,"Disney Princess","Cinderella",646,2,"http://www.1000steine.com/brickset/images/41055-1.jpg",59.99,69.99,89.99,69.99,"Box","Retail"
"41056","Heartlake News Van",2014,"Friends","",278,2,"http://www.1000steine.com/brickset/images/41056-1.jpg",19.99,24.99,29.99,24.99,"Box","Retail"
"41057","Heartlake Horse Show",2014,"Friends","",355,2,"http://www.1000steine.com/brickset/images/41057-1.jpg",34.99,39.99,49.99,39.99,"Box","Retail"
"41058","Heartlake Shopping Mall",2014,"Friends","",1120,4,"http://www.1000steine.com/brickset/images/41058-1.jpg",79.99,109.99,129.99,99.99,"Box","Retail"
"41059","Jungle Tree Sanctuary",2014,"Friends","Jungle Rescue",320,1,"http://www.1000steine.com/brickset/images/41059-1.jpg",24.99,29.99,39.99,29.99,"Box","Retail"
"41500","Flain",2014,"Mixels","Series 1",58,NA,"http://www.1000steine.com/brickset/images/41500-1.jpg",2.99,4.99,5.99,3.99,"Foil pack","Retail"
"41501","Vulk",2014,"Mixels","Series 1",69,NA,"http://www.1000steine.com/brickset/images/41501-1.jpg",2.99,4.99,5.99,3.99,"Foil pack","Retail"
"41502","Zorch",2014,"Mixels","Series 1",45,NA,"http://www.1000steine.com/brickset/images/41502-1.jpg",2.99,4.99,5.99,3.99,"Foil pack","Retail"
"41503","Krader",2014,"Mixels","Series 1",66,NA,"http://www.1000steine.com/brickset/images/41503-1.jpg",2.99,4.99,5.99,3.99,"Foil pack","Retail"
"41504","Seismo",2014,"Mixels","Series 1",50,NA,"http://www.1000steine.com/brickset/images/41504-1.jpg",2.99,4.99,5.99,3.99,"Foil pack","Retail"
"41505","Shuff",2014,"Mixels","Series 1",51,NA,"http://www.1000steine.com/brickset/images/41505-1.jpg",2.99,4.99,5.99,3.99,"Foil pack","Retail"
"41506","Teslo",2014,"Mixels","Series 1",54,NA,"http://www.1000steine.com/brickset/images/41506-1.jpg",2.99,4.99,5.99,3.99,"Foil pack","Retail"
"41507","Zaptor",2014,"Mixels","Series 1",61,NA,"http://www.1000steine.com/brickset/images/41507-1.jpg",2.99,4.99,5.99,3.99,"Foil pack","Retail"
"41508","Volectro",2014,"Mixels","Series 1",70,NA,"http://www.1000steine.com/brickset/images/41508-1.jpg",2.99,4.99,5.99,3.99,"Foil pack","Retail"
"41509","Slumbo",2014,"Mixels","Series 2",61,NA,"http://www.1000steine.com/brickset/images/41509-1.jpg",2.99,4.99,5.99,3.99,"Foil pack","Retail"
"41510","Lunk",2014,"Mixels","Series 2",51,NA,"http://www.1000steine.com/brickset/images/41510-1.jpg",2.99,4.99,5.99,3.99,"Foil pack","Retail"
"41511","Flurr",2014,"Mixels","Series 2",46,NA,"http://www.1000steine.com/brickset/images/41511-1.jpg",2.99,4.99,5.99,3.99,"Foil pack","Retail"
"41512","Chomly",2014,"Mixels","Series 2",68,NA,"http://www.1000steine.com/brickset/images/41512-1.jpg",2.99,4.99,5.99,3.99,"Foil pack","Retail"
"41513","Gobba",2014,"Mixels","Series 2",57,NA,"http://www.1000steine.com/brickset/images/41513-1.jpg",2.99,4.99,5.99,3.99,"Foil pack","Retail"
"41514","Jawg",2014,"Mixels","Series 2",61,NA,"http://www.1000steine.com/brickset/images/41514-1.jpg",2.99,4.99,5.99,3.99,"Foil pack","Retail"
"41515","Kraw",2014,"Mixels","Series 2",70,NA,"http://www.1000steine.com/brickset/images/41515-1.jpg",2.99,4.99,5.99,3.99,"Foil pack","Retail"
"41516","Tentro",2014,"Mixels","Series 2",69,NA,"http://www.1000steine.com/brickset/images/41516-1.jpg",2.99,4.99,5.99,3.99,"Foil pack","Retail"
"41517","Balk",2014,"Mixels","Series 2",68,NA,"http://www.1000steine.com/brickset/images/41517-1.jpg",2.99,4.99,5.99,3.99,"Foil pack","Retail"
"41518","Glomp",2014,"Mixels","Series 3",64,NA,"http://www.1000steine.com/brickset/images/41518-1.jpg",NA,4.99,NA,NA,"Foil pack","Retail"
"41519","Glurt",2014,"Mixels","Series 3",62,NA,"http://www.1000steine.com/brickset/images/41519-1.jpg",NA,4.99,NA,NA,"Not specified","Not specified"
"41520","Torts",2014,"Mixels","Series 3",48,NA,"http://www.1000steine.com/brickset/images/41520-1.jpg",NA,4.99,NA,NA,"Not specified","Not specified"
"41521","Footi",2014,"Mixels","Series 3",72,NA,"http://www.1000steine.com/brickset/images/41521-1.jpg",NA,4.99,NA,NA,"Not specified","Not specified"
"41522","Scorpi",2014,"Mixels","Series 3",70,NA,"http://www.1000steine.com/brickset/images/41522-1.jpg",NA,4.99,NA,NA,"Not specified","Not specified"
"41523","Hoogi",2014,"Mixels","Series 3",69,NA,"http://www.1000steine.com/brickset/images/41523-1.jpg",NA,4.99,NA,NA,"Not specified","Not specified"
"41524","Mesmo",2014,"Mixels","Series 3",64,NA,"http://www.1000steine.com/brickset/images/41524-1.jpg",NA,4.99,NA,NA,"Not specified","Not specified"
"41525","Magnifo",2014,"Mixels","Series 3",61,NA,"http://www.1000steine.com/brickset/images/41525-1.jpg",NA,4.99,NA,NA,"Not specified","Not specified"
"41526","Wizwuz",2014,"Mixels","Series 3",70,NA,"http://www.1000steine.com/brickset/images/41526-1.jpg",NA,4.99,NA,NA,"Not specified","Not specified"
"42020","Twin Rotor Helicopter",2014,"Technic","",145,NA,"http://www.1000steine.com/brickset/images/42020-1.jpg",7.99,12.99,14.99,9.99,"Box","Retail"
"42021","Snowmobile",2014,"Technic","",186,NA,"http://www.1000steine.com/brickset/images/42021-1.jpg",14.99,19.99,24.99,14.99,"Box","Retail"
"42022","Hot Rod",2014,"Technic","",414,NA,"http://www.1000steine.com/brickset/images/42022-1.jpg",29.99,39.99,49.99,29.99,"Box","Retail"
"42023","Construction Crew",2014,"Technic","",833,NA,"http://www.1000steine.com/brickset/images/42023-1.jpg",49.99,69.99,89.99,59.99,"Box","Retail"
"42024","Container Truck",2014,"Technic","",948,NA,"http://www.1000steine.com/brickset/images/42024-1.jpg",59.99,79.99,99.99,69.99,"Box","Retail"
"42025","Cargo Plane",2014,"Technic","",1297,NA,"http://www.1000steine.com/brickset/images/42025-1.jpg",109.99,139.99,159.99,119.99,"Box","Retail"
"42026","Black Champion Racer",2014,"Technic","",137,NA,"http://www.1000steine.com/brickset/images/42026-1.jpg",17.99,19.99,24.99,19.99,"Box","Retail"
"42027","Desert Racer",2014,"Technic","",148,NA,"http://www.1000steine.com/brickset/images/42027-1.jpg",17.99,19.99,24.99,19.99,"Box","Retail"
"42028","Bulldozer",2014,"Technic","",617,NA,"http://www.1000steine.com/brickset/images/42028-1.jpg",34.99,49.99,59.99,39.99,"Box","Retail"
"42029","Customised Pick-Up Truck",2014,"Technic","",1063,NA,"http://www.1000steine.com/brickset/images/42029-1.jpg",69.99,NA,NA,89.99,"Box","Retail"
"42030","Volvo L350F Wheel Loader",2014,"Technic","",1636,NA,"http://www.1000steine.com/brickset/images/42030-1.jpg",169.99,249.99,NA,219.99,"Box","Retail"
"44015","EVO Walker",2014,"HERO Factory","",51,4,"http://www.1000steine.com/brickset/images/44015-1.jpg",8.99,9.99,11.99,9.99,"Other","Retail"
"44016","JAW Beast vs. STORMER",2014,"HERO Factory","",49,1,"http://www.1000steine.com/brickset/images/44016-1.jpg",8.99,9.99,11.99,9.99,"Other","Retail"
"44017","STORMER Freeze Machine",2014,"HERO Factory","",88,3,"http://www.1000steine.com/brickset/images/44017-1.jpg",12.99,14.99,17.99,14.99,"Other","Retail"
"44018","FURNO Jet Machine",2014,"HERO Factory","",79,2,"http://www.1000steine.com/brickset/images/44018-1.jpg",12.99,14.99,17.99,14.99,"Other","Retail"
"44019","ROCKA Stealth Machine",2014,"HERO Factory","",89,2,"http://www.1000steine.com/brickset/images/44019-1.jpg",12.99,14.99,17.99,14.99,"Other","Retail"
"44020","FLYER Beast vs. BREEZ",2014,"HERO Factory","",91,1,"http://www.1000steine.com/brickset/images/44020-1.jpg",12.99,14.99,17.99,14.99,"Other","Retail"
